No,Query,Intent Group,Expected (Gold),Path (RAG/OpenDomain/Fallback),Model,Rewrite Applied,TopScore,Retrieved IDs/Refs,Primary URL,Response (Raw),Tokens (in/out),Latency_ms,Label (Good/Partial/Bad/Fallback),Error Type (if any),Root Cause (expr/data/prompt/threshold/infra),Fix Type (rewrite/data/prompt/threshold/other),Action Detail,Owner,Status (todo/done),Notes
"29","할부금을 카드로 결제할 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"30","차량 구입시 견적에 포함되는 공채매입과 할인의 차이는 무엇인가요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"31","근저당 설정이 되어 있습니다. 어떻게 해야하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"32","세금계산서 발급받으려고 하는데 어떻게 해야하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"33","차량계약 후 예상납기일에 대해 알 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"34","차량계약 후 해지 시 계약금은 환불 받을수 있습니까?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"35","차량구입시 장착되는 타이어는 선택이 가능한가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"36","(상용) 수동재생 진행 중, 시동을 꺼도 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"37","(상용) 주행 중 갑자기 엔진 출력이 떨어지면서 노킹 현상이 나타납니다. 왜 그런가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","10","Bad","","","","","","todo",""
"38","(상용) 주행 중 갑자기 시동이 꺼지는 현상이 발생합니다. 어디에 문제가 있는 것일까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"39","(상용) 유로6차량 DPF의 자동재생은 언제 작동하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"40","(상용) 자동재생 도중 신호대기 및 차량 주/정차 시 재생은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","8","Bad","","","","","","todo",""
"41","(상용) 자동재생 중 아이들 RPM은 왜 높은가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"42","(상용) 자동재생 도중 차량을 멈추고 시동을 꺼도 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"43","(상용) 자동재생 돌입 가능 조건은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"44","(상용) 수동재생은 언제 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"45","(상용) 수동재생 시, 주의해야 할 사항은 무엇인가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"46","(상용) 수동재생 후 검댕이 게이지가 남아 있어도 상관없나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"47","(상용) 수동재생 가능 조건은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"48","(상용 특장) 엑시언트 덤프차량 판 스프링 보증기간이 어떻게 되나요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/purchase-event/policy-Information/warranty/normal-period","현대자동차 보증기간은 차종·부품별로 다릅니다. 기본 보증 안내를 열어드릴까요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"49","(상용 특장) 특장 어퍼바디 장착 작업 시 기술적인 지원이나 관련 자료가 필요한 경우가 많이 있습니다. 어디로 문의를 드리면 되나요?","","","Fallback","","false","0","","","자주 묻는 질문을 모아봤어요.","","0","Bad","","","","","","todo",""
"50","(상용 특장) 법인명의지입, 개인사업자, 특장업체 출고 차량은 어떻게 등록하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"51","정비 예약 확인/취소는 어떻게 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"52","정비관련 업체구분은 어떻게 하나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"53","차량의 연비가 안 좋은데 어떻게 해야 하지요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"54","인터넷으로 정비예약은 어떻게 하는건가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"55","탬퍼러리 타이어(임시타이어)를 적용하는 이유가 뭔가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"56","자동차에서 소음이 생기는 경우, 리콜을 받을 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","5","Bad","","","","","","todo",""
"57","에어백은 언제 터지나요? 에어백의 작동 조건을 알고 싶습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"58","에어백을 장착하는 것이 오히려 사고시 위험하다는 이야기가 있던데, 정말인가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"59","냉매량이 부족한지 에어컨 냉방성능이 떨어진 것 같습니다. 어떻게 하면 좋을까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"60","오랜만에 에어컨을 켰는데, 냄새가 납니다. 어떻게 청소하면 좋을까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"61","겨울철 창문에 생기는 김서림, 신속히 제거하는 방법이 없을까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"62","자동변속기 차량의 HOLD, O/D OFF 버튼은 어떤 때 써야 합니까?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"63","블루투스 등록 방법","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","2","Bad","","","","","","todo",""
"64","차량별 와이퍼 사이즈,핸들사이즈,전구 규격 사이즈 문의","","","Fallback","","false","0","","","자주 묻는 질문을 모아봤어요.","","0","Bad","","","","","","todo",""
"65","타이밍벨트 체인 적용 여부 문의","","","Fallback","","false","0","","","자주 묻는 질문을 모아봤어요.","","0","Bad","","","","","","todo",""
"66","여름철에 세차시 헤드램프에 습기가 차요!","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"67","빗길을 운행 후 헤드램프에 습기가 차요!","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"68","제 차량의 연료탱크 용량 70리터인데 주유를 하면 77리터 정도가 더 들어가요. 왜그런건가요? (공칭용량) 팽창공간 문의","","","Fallback","","false","0","","","자주 묻는 질문을 모아봤어요.","","0","Bad","","","","","","todo",""
"69","스마트키 차량인데요. 중립 주차를 하려는데 N단에서 시동을 꺼도 꺼지지가 않는데 다른 방법이 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"70","여름철마다 냉매를 교환해야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"71","에어컨 성능을 향상시키는 방법 안내","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"72","길이 미끄러워서 바퀴에 체인을 사용하려고 하는데요 어디에 감아야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"73","계기판에 수도꼭지 모양(엔진체크경고등)의 경고등이 떠요.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"74","연료부족경고등 점등 후 몇 키로 운행 가능한지요.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"75","도어 커티쉬램프 타입 문의","","","Fallback","","false","0","","","자주 묻는 질문을 모아봤어요.","","0","Bad","","","","","","todo",""
"76","실 운행자 등록 방법은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","12","Bad","","","","","","todo",""
"77","차량을 판매한 경우 어떻게 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"78","내 차가 아닌 다른 차량이 보입니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","10","Bad","","","","","","todo",""
"79","실 운행자 등록 시 사용 가능한 기능은 무엇인가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","8","Bad","","","","","","todo",""
"80","내 차 정보가 안 보여요.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"81","취급설명서는 어디서 다운 받나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"82","내비게이션 시스템 업그레이드는 어디서 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"83","계정 통합 시, 선택하지 않은 계정은 어떻게 되나요? 가입 정보 (이름, 생년월일 등)도 통합되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","11","Bad","","","","","","todo",""
"84","저는 5개 ID를 가지고 있는데, 계정 통합 화면에는 왜 2개 ID만 표시되는 건가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"85","기존에 이미 사용하고 있던 ID인데, 왜 다시 본인 인증과 계정 통합을 해야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","9","Bad","","","","","","todo",""
"86","이메일 인증 받지 않으면 가입이 안 되는 건가요? 가입 절차가 너무 번거롭습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"87","이미 가입되어 있는 ID가 있다고 하는데, 아이디를 바꾸고 싶어요. (사용하지 않는 ID, 퇴사한 회사의 ID 등)","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","9","Bad","","","","","","todo",""
"88","본인 명의 폰도 없고, 아이핀 발급받기 번거로운데 꼭 본인인증을 받아야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","8","Bad","","","","","","todo",""
"89","""예상하지 못한 오류가 발생했습니다."" 메시지가 표시됩니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"90","현대닷컴 로그인 계정을 변경하고 싶습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"91","휴대폰 인증 SMS가 오지 않습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","17","Bad","","","","","","todo",""
"92","로그인 시 비밀번호가 맞지 않다고 합니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","9","Bad","","","","","","todo",""
"93","로그인 시 다른 계정으로 로그인하라고 나옵니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"94","준회원은 왜 폐지되었나요. 기존 ID를 사용하지 못하는 이유는 무엇인가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","9","Bad","","","","","","todo",""
"95","회원가입을 해야만 현대닷컴을 이용할 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"96","회원탈퇴 및 재가입을 원할때는 어떻게 해야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"97","비밀번호 및 개인정보를 변경하고 싶을때는 어떻게 해야 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"98","‘인터넷 멤버스클럽’은 어떤 서비스인가요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"99","‘인터넷 멤버스클럽’은 언제부터 시작했나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"100","‘인터넷 멤버스클럽’ 서비스는 누구에게 제공됩니까?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"101","‘인터넷 멤버스클럽’ 서비스 신청은 어떻게 합니까?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"102","‘인터넷 멤버스클럽’ 서비스를 신청하면, 어떤 서비스를 받을 수 있나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","1","Bad","","","","","","todo",""
"103","현대자동차 홈페이지에 있는 저작물 사용시 어떤 제한을 받습니까?","","","Fallback","","false","0","","","무엇을 도와드릴까요? 현대차 디지털 쇼룸입니다.","","0","Bad","","","","","","todo",""
"104","제품 카달로그나 설명서의 내용을 사용해도 되는지 궁금합니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"105","현대자동차 저작물 사용에 대해서 자세한 내용을 알려주십시오..","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"106","아이디와 패스워드를 분실하였습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"107","[바디케어 서비스] 출고 이후에, 가입 상품을 변경하는 것이 가능할까요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"108","[바디케어 서비스] 서비스 가입 후 사고가 발생하지 않아 보장을 받지 않은 경우라면, 포인트는 다시 환불받을 수 있을까요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"109","[바디케어 서비스] 적립 예정 포인트가 부족한 경우 어떻게 하나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"110","[바디케어 서비스] 해약 하고 싶습니다. 어떻게 해야 하나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"111","[바디케어 서비스] 가입은 어떻게 하나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","0","Bad","","","","","","todo",""
"112","포인트의 유효기간은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"113","블루멤버스 포인트 양도 절차가 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"114","블루멤버스 포인트 적립 시점은 언제인가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"115","회원 가입 절차 없이 포인트를 받을 수는 없나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"116","블루멤버스 회원 가입 후 카드 발급은 언제 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"117","블루멤버스가 뭔가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"118","모젠 서비스에 오류가 있을 때에는 어떻게 하나요?","","","Fallback","","false","0","","","센터 관련해서 무엇을 도와드릴까요?","","1","Bad","","","","","","todo",""
"119","보증 수리기간이 어떻게 되나요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/purchase-event/policy-Information/warranty/normal-period","현대자동차 보증기간은 차종·부품별로 다릅니다. 기본 보증 안내를 열어드릴까요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"120","ACC ON시에 바로 화면이 표시되지 않습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"121","사용도중 단말기가 갑자기 중지되거나, 버튼을 입력해도 말을 듣지 않습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","10","Bad","","","","","","todo",""
"122","단말기 모델 및 일련번호는 어디서 확인하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"123","차안에서 음악을 듣는 데, 자꾸 길안내 방송이 나와서 신경을 쓰이게 합니다.","","","Fallback","","false","0","","","저는 현대자동차 차량/서비스 안내 전용 챗봇이에요. 관련 질문을 주시면 더 정확히 도와드릴 수 있어요.","","0","Bad","","","","","","todo",""
"124","GPS 수신이 안됩니다. 어떻게 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"125","내비게이션의 지도 업그레이드는 어떻게 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"126","단말기만 별도로 충전을 해줘야 하나요?","","","Fallback","","false","0","","","어떤 정보를 원하세요?","","0","Bad","","","","","","todo",""
"127","단말기의 벨소리를 다운로드 받을 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"128","단말기로 전화가 왔을때 전화를 받고 싶지 않다면 어떻게 해야하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","33","Bad","","","","","","todo",""
"129","주행 중에는 단말기 조작이 안되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","8","Bad","","","","","","todo",""
"130","단말기는 어디에서 판매 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
